S.no,Cadmium,Chromium,Copper,Nickel,Lead,Zinc,Classification
224,0.179,20.4,12.7,14.2,20.1,62.8,Not Organic but fit for cultivation
225,0.213,14.4,14.7,15.8,18.3,68.5,Not Organic but fit for cultivation
226,0.238,33.3,29.4,26.5,68.3,94.4,Not Organic but fit for cultivation
227,0.212,30.7,16.6,14.0,46.0,72.3,Not Organic but fit for cultivation
228,0.145,34.2,12.4,13.2,44.9,62.8,Not Organic but fit for cultivation
229,0.213,10.4,2.78,5.59,71.2,0.84,Organic
230,0.133,40.7,5.44,21.0,43.6,43.0,Organic
231,0.315,61.3,21.1,40.2,38.3,123.0,Not Organic but fit for cultivation
232,0.325,58.2,20.8,37.0,39.6,128.0,Not Organic but fit for cultivation
233,0.44,8.32,8.28,13.6,38.2,83.8,Not Organic but fit for cultivation
234,0.212,1.97,0.625,1.49,41.7,4.77,Organic
235,0.061,30.6,8.48,16.8,19.5,46.9,Avoid Pesticide
236,0.125,32.2,11.0,20.1,25.5,56.5,Not Organic but fit for cultivation
237,0.339,9.82,7.27,7.09,96.4,64.8,Not Organic but fit for cultivation
238,0.379,3.68,15.6,3.33,105.0,24.5,Not Organic but fit for cultivation
239,0.353,18.0,13.6,11.7,48.0,67.9,Not Organic but fit for cultivation
240,0.805,22.5,59.4,19.9,76.4,134.0,Not Organic but fit for cultivation
241,0.353,6.56,4.73,2.77,56.0,29.3,Organic
242,0.153,6.74,10.6,7.76,133.0,227.0,Not Organic but fit for cultivation
243,0.425,18.3,12.5,12.9,274.0,151.0,Not Organic but fit for cultivation
244,0.165,2.41,4.16,2.23,11.7,17.7,Organic
245,0.236,4.08,6.46,2.45,25.3,15.5,Organic
246,0.288,13.5,15.1,13.1,87.4,31.8,Avoid Pesticide
247,1.33,2.73,12.8,3.75,184.0,107.0,Not Organic but fit for cultivation
248,0.549,26.2,31.6,24.2,89.6,170.0,Not Organic but fit for cultivation
249,0.311,18.3,18.5,20.1,68.8,110.0,Not Organic but fit for cultivation
250,0.216,28.7,27.6,39.0,38.1,111.0,Not Organic but fit for cultivation
251,0.32,35.9,21.1,24.3,44.5,142.0,Not Organic but fit for cultivation
252,0.446,55.3,18.2,24.6,40.2,88.4,Not Organic but fit for cultivation
253,0.351,2.73,2.61,2.78,18.7,70.6,Not Organic but fit for cultivation
254,0.386,38.5,17.4,24.3,46.0,83.3,Not Organic but fit for cultivation
255,0.368,36.0,17.1,24.3,42.6,71.3,Not Organic but fit for cultivation
256,0.565,1.48,4.42,1.83,40.4,24.7,Organic
257,0.421,2.01,6.04,1.83,29.8,42.0,Organic
258,0.167,15.4,12.8,9.56,73.6,29.6,Organic
259,0.372,35.4,13.4,31.5,46.4,124.0,Not Organic but fit for cultivation
260,0.036,10.9,9.93,8.26,49.7,26.1,Organic
261,0.147,11.1,6.24,7.34,24.6,36.8,Organic
262,0.154,26.6,12.6,10.7,39.7,52.6,Avoid Pesticide
263,0.308,3.93,6.72,2.09,24.5,22.2,Organic
264,0.326,1.47,10.0,2.2,22.6,20.3,Organic
265,0.145,8.61,3.22,5.73,30.8,24.1,Organic
266,0.477,5.99,16.1,6.46,112.0,56.0,Not Organic but fit for cultivation
267,0.204,16.6,8.84,12.1,19.7,56.0,Avoid Pesticide
268,0.183,11.9,8.28,9.58,14.9,55.4,Avoid Pesticide
269,0.346,39.0,22.3,30.0,29.4,85.6,Not Organic but fit for cultivation
270,0.494,36.4,38.3,33.6,93.7,185.0,Not Organic but fit for cultivation
271,0.381,55.0,37.5,34.5,98.3,275.0,Not Organic but fit for cultivation
272,0.095,6.75,6.88,3.83,19.4,24.5,Organic
273,0.209,13.8,9.94,9.45,33.0,46.9,Avoid Pesticide
274,0.113,15.1,18.0,3.06,162.0,11.8,Not Organic but fit for cultivation
275,0.157,13.7,9.12,3.66,16.3,3.65,Organic
276,0.476,6.2,10.4,3.98,29.0,28.1,Organic
277,0.774,2.14,9.75,2.77,55.4,52.2,Avoid Pesticide
278,0.565,26.8,48.2,19.3,58.2,118.0,Not Organic but fit for cultivation
279,0.368,28.3,24.0,12.7,53.0,87.8,Not Organic but fit for cultivation
280,0.983,3.61,28.6,4.71,304.0,71.1,Not Organic but fit for cultivation
281,0.147,5.7,8.43,2.64,81.0,43.1,Avoid Pesticide
